cohort,n,wins,pnl,avg,win,win_lo,win_hi,pf,mean_ci_lo,mean_ci_hi,instruments
Shadow rows (invalid unit),55,46,96.1094878081153,1.7474452328748238,0.8363636363636363,0.717360036126882,0.9114467944147754,10.415425442389491,1.3557650265208012,2.1083998851414507,4
Shadow episodes,11,5,-0.36815123144545114,-0.03346829376776828,0.45454545454545453,0.21270957543988045,0.7199122443100118,0.9539671112008392,-0.9941045536843258,0.9580001868477293,4
Executable perps,5,2,-1.1458496472755528,-0.22916992945511055,0.4,0.1176182311592533,0.769280067791163,0.7537468010463515,-1.7897291517476694,1.3523454132464157,4
Spot closes,56,12,-54.12979057,-0.9666034030357142,0.21428571428571427,0.127057803147445,0.33819713656004946,0.32863660956053375,-1.437841710808036,-0.45733254136160734,30
